ISIN,Product Name,Expect Return 1 Year,Standar Deviasi,Asset Under Management (AUM),Deviden,Date
IDN000105301,Allianz Alpha Sector Rotation,0.3048,0.1572,1149,NO,30-12-22
IDN000151800,Ashmore Dana Ekuitas Nusantara,-0.0012,0.1508,3962,NO,30-12-22
IDN000301702,Ashmore Saham Sejahtera Nusantara,0.0484,0.1465,2586,NO,30-12-22
IDN000022407,Batavia Dana Saham,0.0367,0.1493,5165,NO,30-12-22
IDN000384500,Batavia Sri Kehati ETF,0.165,0.151,39,NO,30-12-22
IDN000475308,Batavia Technology Sharia Equity Usd,-0.0796,0.1317,535,NO,30-12-22
IDN000471901,BNI-Am Indeks IDX Growth30 Kelas I2,-0.0286,0.1752,429,YES,30-12-22
IDN000320900,BNI-Am Indeks IDX30,-0.0166,0.1584,1636,YES,30-12-22
IDN00039801,BNI-Am Nusantara ETF MSCI Indonesia Equity Index,0.1061,0.1579,856,YES,30-12-22
IDN000019205,BNP Paribas Pesona,0.0263,0.137,812,NO,30-12-22
IDN000047107,BNP Paribas Pesona Syariah,0.0292,0.1268,673,NO,30-12-22
IDN000035201,Dana Ekuitas Prima,0.0143,0.1579,182,NO,30-12-22
IDN000023207,Danareksa Mawar,0.0207,0.1522,117,NO,30-12-22
IDN000112208,Danareksa Mawar Konsumer 10,0.0188,0.151,369,NO,30-12-22
IDN000054301,Mandiri Investa Atraktif Syariah,0.1095,0.1269,51,NO,30-12-22
IDN000020302,Manulife Dana Saham Kelas A,-0.0869,0.1509,6245,NO,30-12-22
IDN000151305,Manulife Saham SMC Plus,-0.0116,0.1563,99,NO,30-12-22
IDN000076205,Manulife Syariah Sektoral Amanah,0.0175,0.1364,253,NO,30-12-22
IDN000372604,Premier ETF IDX High Dividend 20,0.2271,0.1538,33,NO,30-12-22
IDN000374105,Premier ETF Pefindo I-Grade,0.161,0.1684,21,NO,30-12-22
IDN000186400,Premier ETF Sri-Kehati,0.1641,0.1524,1276,NO,30-12-22
IDN000099405,Schroder 90 Plus Equity Fund,0.0458,0.1524,951,NO,30-12-22
IDN000087103,Schroder Dana Prestasi,0.1005,0.1449,2808,NO,30-12-22
IDN000000809,Schroder Dana Prestasi Plus,0.1253,0.1379,8161,NO,30-12-22
IDN000247400,Sequis Equity Maxima,0.0526,0.1388,1386,NO,30-12-22
IDN000062403,SIMAS Danamas Saham,0.0871,0.1473,15,NO,30-12-22
IDN000136603,Sucorinvest Equity Fund,0.0938,0.1355,3630,NO,30-12-22
IDN000218005,Sucorinvest Saham Dinamis,0.2357,0.1375,20,NO,30-12-22
IDN000342706,Syailendra MSCI Indonesia Value Index Fund Kelas A,0.0327,0.1439,1559,NO,30-12-22
IDN000011301,Trim Kapital,0.0397,0.1448,295,NO,30-12-22
IDN000105301,Allianz Alpha Sector Rotation,0.3001,0.1572,1109,NO,30-11-22
IDN000062403,BNI-Am Indeks IDX30,-0.016,0.1473,1616,YES,30-11-22
IDN000011301,Trim Kapital,0.0379,0.1448,291,NO,30-11-22
